demuc_id,chude_id,chude_ten, demuc_ten, score
a20d4a54-701d-4ef7-9593-75068883d1d9,c124612e-a23f-4199-8747-55fe4e8a8c89,"Bưu chính, viễn thông",Viễn thông,51.25
a2284f91-14b5-47f5-b05d-51bf84d8a561,a5b5fa2d-056c-48c4-b6fc-c782359511ff,Hành chính tư pháp,Lý lịch tư pháp,37.5
a3eb99fa-1160-42b1-90ff-39fe66fd4f85,81215563-6346-448e-bded-2933f86276bb,"Nông nghiệp, nông thôn",Thủy sản,47.64705882352941
a5dd4141-f13c-40f3-802d-a6175684bb0a,717625a2-281b-4307-b21b-68b1c73d2207,"Thương mại, đầu tư, chứng khoán",Quản lý ngoại thương,74.41322314049587
a650d744-65b5-4ec6-a985-8a52d5e6a524,607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược","Phòng, chống bệnh truyền nhiễm",40.0
a69013cd-2792-4838-8fac-76a54ec31022,965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,"Trật tự, an toàn xã hội",Phòng cháy và chữa cháy,76.78571428571429
a6942cbd-cf83-4f3f-b314-27a25a014442,859b54fa-0c05-4807-a50c-c8be82fcae62,Quốc phòng,Động viên công nghiệp,60.0
a6f7334f-42bb-4437-a03f-e6a04816dc9c,c054141c-d30c-4e83-9f35-2fb1c61c6e7c,Tài nguyên,Khí tượng thủy văn,62.142857142857146
aac1fa20-8498-4c00-b5f3-a9c1a75b0df1,c124612e-a23f-4199-8747-55fe4e8a8c89,"Bưu chính, viễn thông",Giao dịch điện tử,60.5
ab2a3ec6-2176-4dac-a836-cde2cae944b1,ec61c177-8f68-4a69-a42b-2257d599d907,Xây dựng pháp luật và thi hành pháp luật,Hợp nhất văn bản quy phạm pháp luật,75.0
ad9817c1-1032-4748-97f7-fd4db42fd04e,81215563-6346-448e-bded-2933f86276bb,"Nông nghiệp, nông thôn",Lâm nghiệp,36.25
ae3606a8-ef39-4d23-a46e-becbc1f86038,c054141c-d30c-4e83-9f35-2fb1c61c6e7c,Tài nguyên,"Tài nguyên, môi trường biển và hải đảo",70.0
aec013b7-861e-4925-be1f-a8a2469346e4,09ca05d1-7f1d-4887-a65d-a210374d1969,"Thuế, phí, lệ phí, các khoản thu khác",Thuế tài nguyên,20.0
b10e4fa0-bfe1-42c1-8ff0-0af74ec834ed,ed53d710-e3ae-4741-abc7-0f5dd82dec24,Lao động,"An toàn, vệ sinh lao động",72.91666666666667
b10f42da-f79a-463d-98e0-cffc1df99fda,3a225bc6-c8c9-459e-967e-9876d4eb2c33,Công nghiệp,Điện lực,63.71428571428572
b22e0b0a-4de6-4d97-8f57-5a8f4d4a9b09,3fc1ee9d-eec6-4839-9c98-7ac2ca9e0792,Tổ chức bộ máy nhà nước,Tổ chức Quốc hội,80.8
bac21193-4c90-4e8c-a274-ffce8648c505,b82ee309-2527-4a7d-8d4d-fccdfabbc86c,"Giao thông, vận tải",Đường sắt,63.54166666666666
bacdbd85-9876-46f4-a7e7-3575950d10f7,e4b6a170-8415-42a5-9ee2-f8eb147f5d15,Chính sách xã hội,Người khuyết tật,50.0
bc6d8c20-c34f-4bd7-a17d-0f29f1abb7ac,cb5c6841-2c38-48ca-b946-da24c8d8a099,"Cán bộ, công chức, viên chức",Viên chức,61.54128440366973
bc9a9ade-0c9f-43cc-8cc2-8c69773d163e,ff58c8ec-ab1b-4fdd-b732-5f09f9fa09cd,"Khiếu nại, tố cáo",Tố cáo,81.36363636363636
